"","os","lenguajes","registrado","inscrito","sexo","lon","lat","city"
"225","Windows","Como lenguajes de programación manejo R y un poco de Python",2017-06-20,2017-06-20,"female",-4.77,37.88,"Córdoba"
"226","Windows 10","R",2017-11-08,2017-11-08,"female",-3.59,37.17,"Granada"
"227","Linux","R, python",2017-10-31,2017-10-31,"female",-3.71,40.42,"Madrid"
"228","sistema operativo windows","Uso el R, SPSS   y Excel",2017-09-18,2017-09-18,"female",-3.59,37.17,"Granada"
"229","Windows","R
MySQL
Matlab
Python
Statgraphics",2017-09-18,2017-09-18,"female",-3.59,37.17,"Granada"
"230","Windows 7","R, SAP, un poco de Python y Java",2017-05-26,2017-05-26,"female",-3.59,37.17,"Granada"
"231","R","Econometría",2017-10-03,2017-10-03,"female",-3.59,37.17,"Granada"
"232","Windows y Linux","R, Python",2017-04-18,2017-04-20,"female",-3.69,40.42,"Madrid"
"233","Windows...próximamente Linux!","R, Tableau, Latex y programas para análisis estadístico y econométrico.",2017-05-22,2017-05-23,"X",-3.71,40.42,"Madrid"
"234","microsoft, hadoop","html, php y Business Intelligence applications",2017-04-05,2017-06-16,"male",-3.59,37.17,"Granada"
"235","Windows, Mac OS.","R, Stata, Visual Basic, C++.",2017-10-26,2017-10-26,"male",-3.59,37.17,"Granada"
"236","Windows y Linux","R, Python, C++, SQL",2017-07-07,2017-07-07,"male",2.17,41.4,"Barcelona"
"237","Arch Linux","Ruby! C++, R, JavaScript (y algo de Haskell, Java y Python)",2015-12-31,2017-06-09,"male",-3.59,37.17,"Granada"
"238","Windows","R, python",2017-10-31,2017-10-31,"male",-3.59,37.17,"Granada"
"239","Linux, Windows","PHP, JavaScript, SQL, R, Java, C++",2017-06-07,2017-06-07,"male",-3.59,37.17,"Granada"
"240","windows","SPSS, R, Python",2017-10-23,2017-10-23,"male",-2.43,36.83,"Almería"
"241","Windows y Linux","R",2017-04-21,2017-04-22,"male",-0.39,39.48,"Valencia"
"242","Linux, Windows","java, R",2017-06-09,2017-06-09,"male",-3.59,37.17,"Granada"
"243","Mac & Windows","R",2017-07-12,2017-07-12,"male",-3.59,37.17,"Granada"
"244","Windows y Linux","R, C#, SQL",2017-06-02,2017-06-02,"male",-3.59,37.17,"Granada"
"245","Linux (Fedora 26).","Java y Python",2017-09-19,2017-10-18,"male",-3.59,37.17,"Granada"
"246","Windows","Matlab y R",2017-07-03,2017-07-03,"female",-3.59,37.17,"Granada"
"247","windows","sql
mdx
Dax
excel
",2017-11-13,2017-11-13,"female",-3.59,37.17,"Granada"
"248","Windows","R, vba, sql, mysql",2017-10-26,2017-10-26,"female",-5.1,37.24,"Osuna"
"249","Windows. Ocasionalmente linux.","Python, R",2017-03-01,2017-11-03,"X",-3.59,37.17,"Granada"
"250","Windows","Principalmente R",2017-08-03,2017-08-03,"male",-3.59,37.17,"Granada"
"251","Antergos,manjaro","Python",2017-04-22,2017-06-22,"X",-3.59,37.17,"Granada"
"252","Windows y Ubuntu (Linux)","C, C++, R, Scala, Java, Python...",2017-02-08,2017-06-09,"female",-3.59,37.17,"Granada"
"253","Ubuntu windows","r SQL Python ",2017-01-04,2017-04-20,"male",-3.59,37.17,"Granada"
"254","macOS, Windows","Python, Java, C#",2017-05-29,2017-06-09,"female",-3.59,37.17,"Granada"
"255","Windows, Linux","R, R Studio",2017-05-19,2017-05-19,"male",2.17,41.4,"Barcelona"
"256","Windows 7 principalmente","R
SAS 
SPSS
VB
C#
Alguno más mucho menos tiempo",2017-06-02,2017-06-02,"male",-3.59,37.17,"Granada"
"257","Windows","R, python, C, SAS",2017-09-01,2017-09-01,"male",-3.71,40.42,"Madrid"
"258","centOS7","R, Scala",2016-05-18,2017-04-20,"male",-3.59,37.17,"Granada"
"259","Linux","R
RStudio
Latex
SPSS",2017-10-17,2017-10-17,"male",-3.59,37.17,"Granada"
"260","Windows","R",2017-06-19,2017-06-19,"male",-5.98,37.4,"Sevilla"
"261","Windows","R",2017-10-07,2017-10-07,"female",-3.59,37.17,"Granada"
"262","Linux, windows","R, python, scala, Hivesql, sas, matlab, spark, hadoop, Tensorflow,...",2017-08-14,2017-08-14,"male",-3.71,40.42,"Madrid"
"263","Linux,Windows","R,python, scala",2017-08-14,2017-08-14,"male",-3.71,40.42,"Madrid"
"264","El GNU/Linux que me dé por la racha, generalmente Ubuntu.","Principalmente JavaScript, pero que no pasa nada si hay que hacer algo en Python, Java, C++...",2015-12-30,2017-04-19,"male",-3.59,37.17,"Granada"
"265","MacOS, Linux","R, Markdown, Latex",2017-06-15,2017-06-15,"male",-3.59,37.17,"Granada"
"266","Windows","-R, con interfaz gráfica : RKWard , Rcmdr ( nivel principiante)
-Gstat",2017-06-10,2017-06-10,"female",-3.59,37.17,"Granada"
"267","Windows ","SPSS, R, R-comander, Statgraphics ",2017-11-06,2017-11-07,"female",-3.59,37.17,"Granada"
"268","Ubuntu win8","Python",2017-10-27,2017-10-27,"male",-3.61,37.19,"Granada"
"269","MICROSOFT","R, SAS, PYTHON",2017-05-19,2017-05-20,"female",-3.71,40.42,"Madrid"
"270","Windows","R
Java
JavaScript",2017-11-03,2017-11-03,"X",-3.59,37.17,"Granada"
"271","Windows 7","Stata, Gretl, R, RStudio",2017-10-19,2017-10-19,"female",-3.59,37.17,"Granada"
"272","MAC OS X y Ubuntu","R",2016-01-26,2017-04-20,"male",-3.59,37.17,"Granada"
"273","Windows","Matlab y R",2017-09-30,2017-09-30,"male",-3.59,37.17,"Granada"
"274","Windows, Linux","R, Python, Matlab, C++, Java",2017-07-21,2017-07-21,"male",-3.59,37.17,"Granada"
"275","Windows","R, Python, Java",2017-11-06,2017-11-07,"male",-3.71,40.42,"Madrid"
"276","Windows","R, Matlab, Python",2017-05-24,2017-05-24,"male",-3.59,37.17,"Granada"
"277","Windows","C, python, Javascript",2017-09-11,2017-09-12,"male",-3.59,37.17,"Granada"
"278","Windows y Ubuntu","C++, R, Java, PHP, HTML, CSS....",2017-09-11,2017-09-11,"male",-3.59,37.17,"Granada"
"279","Windows, Linux e iOS","Matlab y R",2017-11-06,2017-11-06,"male",-3.59,37.17,"Granada"
"280","Windows","R",2017-09-05,2017-09-05,"male",-3.71,40.42,"Madrid"
"281","Linux y windows","R ",2017-06-09,2017-06-09,"male",-3.59,37.17,"Granada"
"282","","",2015-12-15,2017-04-19,"male",-3.58999991416931,37.1699981689453,"Granada"
"283","Microsoft y Linux (Ubuntu)","Lenguaje de programación R
VBA",2017-04-27,2017-04-27,"male",-3.59,37.17,"Granada"
"284","Windows 7","R",2017-09-26,2017-09-26,"male",-8.54,42.88,"Santiago de Compostela"
"285","Ubuntu","R, QGIS, GeoDa",2017-10-24,2017-10-24,"male",-3.59,37.17,"Granada"
"286","Windows","R, Matlab, Python, SPSS, C, C++, Visual Studio, Html5+css3, php, arcgys",2017-09-04,2017-09-19,"male",-3.59,37.17,"Granada"
"287","Linux","Python, C/C++, Java",2017-10-31,2017-10-31,"male",-3.59,37.17,"Granada"
"288",".","R y Python",2017-07-03,2017-07-03,"male",-2.43,36.83,"Almería"
"289",".","R y Python",2017-07-03,2017-07-03,"male",-4.42,36.72,"Málaga"
"290","GNU/Linux","git, R, vim, bash, mc, firefox, pandoc, LaTeX, grass, inkscape, gimp, thunderbird, openshot, audacity, ...",2017-10-29,2017-10-29,"male",-1.13,37.98,"Murcia"
"291","Llevo años usando xubuntu. ","R, python,  y poco más",2017-04-07,2017-04-19,"male",-3.71,40.42,"Madrid"
"292","Windows","R, Stata, SPSS, Cognos.",2017-06-16,2017-06-16,"male",2.17,41.4,"Barcelona"
"293","windows","R",2017-06-22,2017-06-22,"male",-5.98,37.4,"Sevilla"
"294","Windows 10","R.Commander. R.TeMiS",2017-09-09,2017-09-09,"male",-4.42,36.72,"Málaga"
"295","iOS ","R, MatLab, E-views, LaTex",2017-11-02,2017-11-02,"male",-3.59,37.17,"Granada"
"296","Debian, Ubuntu, Windows 10.","C, C++, Python, JAVA, JS.",2017-02-15,2017-04-23,"male",-3.59,37.17,"Granada"
"297","Windows","R",2017-06-16,2017-06-16,"male",2.17,41.4,"Barcelona"
"298","Windows 10","R",2017-10-06,2017-10-06,"male",-3.59,37.17,"Granada"
"299","Linux, Windows 10","Python, JS, C++",2017-10-31,2017-10-31,"male",-3.59,37.17,"Granada"
"300","Ubuntu, Windows","R, SQL",2017-10-30,2017-10-30,"male",-3.71,40.42,"Madrid"
"301","Window","Lenguaje de programación R",2017-11-06,2017-11-06,"female",-3.59,37.17,"Granada"
"302","Windows","R, Matlab",2017-10-06,2017-10-06,"female",-3.59,37.17,"Granada"
"303","Windows, Mac, Ubuntu","R",2017-11-06,2017-11-06,"male",-3.59,37.17,"Granada"
"304","windows","R",2017-09-08,2017-09-08,"male",-3.59,37.17,"Granada"
"305","Ubuntu","R",2017-09-30,2017-09-30,"male",-3.59,37.17,"Granada"
"306","Ubuntu
windows","R
Pyton (algo)",2017-10-20,2017-10-20,"male",-3.59,37.17,"Granada"
"307","Linux, windows","C, Ptyhon",2016-10-09,2017-08-08,"male",-3.71,40.42,"Madrid"
"308","","",2017-02-03,2017-04-19,"male",-3.59,37.17,"Granada"
"309","Windows y IOS","R, Java, C...",2017-11-13,2017-11-13,"male",-3.59,37.17,"Granada"
"310","Win7 o Ubuntu","Python, mariaDB, R, Java..",2017-09-07,2017-09-07,"female",-3.59,37.17,"Granada"
"311","Linux mint debian based","C++, R, Scala, Java, C..",2016-10-08,2017-10-03,"female",-3.59,37.17,"Granada"
"312","Windows","R, SAS",2017-11-06,2017-11-06,"female",-3.59,37.17,"Granada"
"313","Windows y Linux","R",2017-09-19,2017-09-19,"female",5.17,52.36,"Almere"
"314","IOS","Visual Basic y R",2017-07-12,2017-07-12,"female",-3.59,37.17,"Granada"
"315","mac","neo4j, docker, couchdb, matlab, phyton, R, javascript, java...",2017-04-20,2017-04-20,"male",-3.59,37.17,"Granada"
"316","Windows","R",2017-09-01,2017-09-01,"male",-3.59,37.17,"Granada"
"317","Windows","R, R-Studio, arcGIS",2017-05-26,2017-06-28,"female",-3.59,37.17,"Granada"
"318","Windows 10","R",2017-08-07,2017-08-07,"male",-3.59,37.17,"Granada"
"319","Windows","R",2017-11-06,2017-11-06,"female",-3.59,37.17,"Granada"
"320","windows","R",2017-08-16,2017-08-16,"female",-3.59,37.17,"Granada"
"321","Windows / Linux","R, SAS, Python SQL
",2017-07-07,2017-07-07,"female",2.17,41.4,"Barcelona"
"322","Windows","R",2017-10-20,2017-10-20,"female",-3.59,37.17,"Granada"
"323","Windows","R, Fortran",2017-09-07,2017-09-07,"female",-3.59,37.17,"Granada"
"324","Linux, Windows","R, Python",2017-10-17,2017-10-17,"male",-5.98,37.4,"Sevilla"
"325","mac osx 10.9","R, JS, D3.js, Python, C++, Processing, PureData, MaxMsP, TangibleData, SAS",2017-11-03,2017-11-03,"male",12.09,55.65,"Roskilde"
"326","MAC
Windows
Unix","R, Stata, Linux, Github",2017-04-18,2017-10-28,"X",-71.13,42.38,"Cambridge"
"327","Windows 10","Python, R, C++",2017-10-30,2017-10-30,"male",-6.29,36.53,"Cádiz"
"328","Linux","None",2017-09-26,2017-10-03,"female",-0.1,51.52,"London"
"329","Linux, Windows","Java, C",2017-09-11,2017-09-11,"X",-103.35,20.67,"Guadalajara"
